date,hour,metric,price
2015-01-20,11,Avg. Price,32.73
2015-01-20,12,Avg. Price,32.4
2015-01-20,13,Avg. Price,31.06
2015-01-20,14,Avg. Price,29.65
2015-01-20,15,Avg. Price,24.36
2015-01-20,16,Avg. Price,23.28
2015-01-20,17,Avg. Price,27.87
2015-01-20,18,Avg. Price,25.84
2015-01-20,19,Avg. Price,27.34
2015-01-20,20,Avg. Price,28.29
2015-01-20,21,Avg. Price,29.99
2015-01-20,22,Avg. Price,24.74
2015-01-20,23,Avg. Price,28.28
2015-01-21,0,Avg. Price,21.68
2015-01-21,1,Avg. Price,19.31
2015-01-21,2,Avg. Price,18.21
2015-01-21,3,Avg. Price,15.45
2015-01-21,4,Avg. Price,14.54
2015-01-21,5,Avg. Price,16.83
2015-01-21,6,Avg. Price,25.53
2015-01-21,7,Avg. Price,23.03
2015-01-21,8,Avg. Price,25.34
2015-01-21,9,Avg. Price,25.61
2015-01-21,10,Avg. Price,24.6
2015-01-21,11,Avg. Price,24.18
2015-01-21,12,Avg. Price,19.83
2015-01-21,13,Avg. Price,20.63
2015-01-21,14,Avg. Price,19.57
2015-01-21,15,Avg. Price,18.23
2015-01-21,16,Avg. Price,18.77
2015-01-21,17,Avg. Price,22.97
2015-01-21,18,Avg. Price,21.08
2015-01-21,19,Avg. Price,20.13
2015-01-21,20,Avg. Price,19.08
2015-01-21,21,Avg. Price,17.65
2015-01-21,22,Avg. Price,12.24
2015-01-21,23,Avg. Price,8.94
2015-01-22,0,Avg. Price,8.63
2015-01-22,1,Avg. Price,8.94
2015-01-22,2,Avg. Price,8.94
2015-01-22,3,Avg. Price,8.94
2015-01-22,4,Avg. Price,8.87
2015-01-22,5,Avg. Price,8.76
2015-01-22,6,Avg. Price,8.67
2015-01-22,7,Avg. Price,13.61
2015-01-22,8,Avg. Price,17.83
2015-01-22,9,Avg. Price,12.88
2015-01-22,10,Avg. Price,13.99
2015-01-22,11,Avg. Price,11.96
2015-01-22,12,Avg. Price,10.78
2015-01-22,13,Avg. Price,10.32
2015-01-22,14,Avg. Price,10.78
2015-01-22,15,Avg. Price,10.72
2015-01-22,16,Avg. Price,9.89
2015-01-22,17,Avg. Price,17.73
2015-01-22,18,Avg. Price,20.9
2015-01-22,19,Avg. Price,25.17
2015-01-22,20,Avg. Price,22.42
2015-01-22,21,Avg. Price,23.45
2015-01-22,22,Avg. Price,20.01
2015-01-22,23,Avg. Price,16.55
2015-01-23,0,Avg. Price,12.82
2015-01-23,1,Avg. Price,18.6
2015-01-23,2,Avg. Price,18.9
2015-01-23,3,Avg. Price,12.34
2015-01-23,4,Avg. Price,13.11
2015-01-23,5,Avg. Price,14.15
2015-01-23,6,Avg. Price,21.01
2015-01-23,7,Avg. Price,20.89
2015-01-23,8,Avg. Price,20.79
2015-01-23,9,Avg. Price,16.94
2015-01-23,10,Avg. Price,19.94
2015-01-23,11,Avg. Price,20.51
2015-01-23,12,Avg. Price,22.15
2015-01-23,13,Avg. Price,19.39
2015-01-23,14,Avg. Price,18.66
2015-01-23,15,Avg. Price,11.04
2015-01-23,16,Avg. Price,12.41
2015-01-23,17,Avg. Price,19.47
2015-01-23,18,Avg. Price,19.45
2015-01-23,19,Avg. Price,26.2
2015-01-23,20,Avg. Price,20.22
2015-01-23,21,Avg. Price,27.94
2015-01-23,22,Avg. Price,25.49
2015-01-23,23,Avg. Price,22.26
2015-01-24,0,Avg. Price,23.12
2015-01-24,1,Avg. Price,15.81
2015-01-24,2,Avg. Price,13.64
2015-01-24,3,Avg. Price,12.23
2015-01-24,4,Avg. Price,11.99
2015-01-24,5,Avg. Price,12.62
2015-01-24,6,Avg. Price,12.93
2015-01-24,7,Avg. Price,13.73
2015-01-24,8,Avg. Price,15.76
2015-01-24,9,Avg. Price,15.45
2015-01-24,10,Avg. Price,18.41
2015-01-24,11,Avg. Price,16.44
2015-01-24,12,Avg. Price,14.16
2015-01-24,13,Avg. Price,15.22
2015-01-24,14,Avg. Price,17.39
2015-01-24,15,Avg. Price,19.68
2015-01-24,16,Avg. Price,19.82
2015-01-24,17,Avg. Price,27.72
2015-01-24,18,Avg. Price,29.33
2015-01-24,19,Avg. Price,26.12
2015-01-24,20,Avg. Price,22.94
2015-01-24,21,Avg. Price,19.31
2015-01-24,22,Avg. Price,22.96
2015-01-24,23,Avg. Price,19.64
2015-01-25,0,Avg. Price,13.47
2015-01-25,1,Avg. Price,13.42
2015-01-25,2,Avg. Price,13.3
2015-01-25,3,Avg. Price,14.05
2015-01-25,4,Avg. Price,13.03
2015-01-25,5,Avg. Price,12.4
2015-01-25,6,Avg. Price,10.61
2015-01-25,7,Avg. Price,10.85
2015-01-25,8,Avg. Price,11.84
2015-01-25,9,Avg. Price,13.32
2015-01-25,10,Avg. Price,16.84
2015-01-25,11,Avg. Price,19.72
2015-01-25,12,Avg. Price,19.47
2015-01-25,13,Avg. Price,20
2015-01-25,14,Avg. Price,18.9
2015-01-25,15,Avg. Price,17.86
2015-01-25,16,Avg. Price,23.96
2015-01-25,17,Avg. Price,46.81
2015-01-25,18,Avg. Price,43.53
2015-01-25,19,Avg. Price,40.25
2015-01-25,20,Avg. Price,34.74
2015-01-25,21,Avg. Price,37.8
2015-01-25,22,Avg. Price,38.27
2015-01-25,23,Avg. Price,30.91
2015-01-26,0,Avg. Price,22.22
2015-01-26,1,Avg. Price,17.42
2015-01-26,2,Avg. Price,15.33
2015-01-26,3,Avg. Price,14.3
2015-01-26,4,Avg. Price,18.86
2015-01-26,5,Avg. Price,20.87
2015-01-26,6,Avg. Price,24.97
2015-01-26,7,Avg. Price,38.65
2015-01-26,8,Avg. Price,40.4
2015-01-26,9,Avg. Price,43.59
2015-01-26,10,Avg. Price,41.99
2015-01-26,11,Avg. Price,41.88
2015-01-26,12,Avg. Price,36.01
2015-01-26,13,Avg. Price,36.5
2015-01-26,14,Avg. Price,34.83
2015-01-26,15,Avg. Price,28.78
2015-01-26,16,Avg. Price,27.13
2015-01-26,17,Avg. Price,31.35
2015-01-26,18,Avg. Price,28.06
2015-01-26,19,Avg. Price,26.45
2015-01-26,20,Avg. Price,23.37
2015-01-26,21,Avg. Price,21.74
2015-01-26,22,Avg. Price,18.62
2015-01-26,23,Avg. Price,16.05
2015-01-27,0,Avg. Price,14.77
2015-01-27,1,Avg. Price,19.25
2015-01-27,2,Avg. Price,17.91
2015-01-27,3,Avg. Price,16.68
2015-01-27,4,Avg. Price,15.43
2015-01-27,5,Avg. Price,15.47
2015-01-27,6,Avg. Price,22.89
2015-01-27,7,Avg. Price,29.55
2015-01-27,8,Avg. Price,30.89
2015-01-27,9,Avg. Price,31.1
2015-01-27,10,Avg. Price,34.43
